,지점,일시,16방위 풍향,풍속,GUST풍속,기온,현지기압,month,time
0,22101,2023-01-01 03:00:00,279.0,6.2,7.8,5.3,1029.7,1,3
1,22101,2023-01-01 06:00:00,18.0,6.7,8.2,3.2,1030.0,1,6
2,22101,2023-01-01 09:00:00,18.0,5.5,6.9,2.1,1031.8,1,9
3,22101,2023-01-01 12:00:00,348.0,5.4,7.2,1.5,1032.8,1,12
4,22101,2023-01-01 15:00:00,342.0,5.8,7.6,1.7,1032.0,1,15
5,22101,2023-01-01 18:00:00,2.0,6.6,8.7,2.0,1031.6,1,18
6,22101,2023-01-01 21:00:00,321.0,6.9,8.6,1.3,1033.1,1,21
7,22101,2023-01-02 00:00:00,347.0,9.8,12.4,0.4,1033.7,1,0
8,22101,2023-01-02 03:00:00,351.0,8.9,11.2,-0.4,1033.8,1,3
9,22101,2023-01-02 06:00:00,346.0,8.5,11.5,-1.9,1034.1,1,6
10,22101,2023-01-02 09:00:00,353.0,7.3,9.5,-2.4,1034.3,1,9
11,22101,2023-01-02 12:00:00,347.0,5.8,7.9,-2.3,1034.7,1,12
12,22101,2023-01-02 15:00:00,332.0,6.0,8.5,-1.7,1032.7,1,15
13,22101,2023-01-02 18:00:00,336.0,6.2,8.8,-0.3,1032.1,1,18
14,22101,2023-01-02 21:00:00,337.0,7.0,9.6,-0.4,1032.9,1,21
15,22101,2023-01-03 00:00:00,340.0,6.6,8.7,-1.6,1032.8,1,0
16,22101,2023-01-03 03:00:00,351.0,6.1,8.0,-2.4,1032.3,1,3
17,22101,2023-01-03 06:00:00,32.0,3.4,4.9,-2.5,1032.0,1,6
18,22101,2023-01-03 09:00:00,42.0,2.0,3.2,-1.4,1032.2,1,9
19,22101,2023-01-03 12:00:00,336.0,3.1,5.0,-0.8,1032.5,1,12
20,22101,2023-01-03 15:00:00,340.0,4.7,6.5,-1.0,1031.1,1,15
21,22101,2023-01-03 18:00:00,333.0,4.5,6.1,-0.4,1030.3,1,18
22,22101,2023-01-03 21:00:00,330.0,4.2,6.2,0.7,1030.8,1,21
23,22101,2023-01-04 00:00:00,254.0,1.7,3.2,0.6,1030.8,1,0
24,22101,2023-01-04 03:00:00,216.0,2.2,3.3,1.6,1029.9,1,3
25,22101,2023-01-04 06:00:00,124.0,2.3,3.2,2.2,1029.8,1,6
26,22101,2023-01-04 09:00:00,75.0,5.1,6.3,1.2,1030.9,1,9
27,22101,2023-01-04 12:00:00,130.0,2.4,3.7,1.9,1032.1,1,12
28,22101,2023-01-04 15:00:00,339.0,1.9,3.3,2.3,1031.1,1,15
29,22101,2023-01-04 18:00:00,342.0,1.6,2.6,2.4,1030.5,1,18
30,22101,2023-01-04 21:00:00,335.0,1.6,2.5,1.9,1031.2,1,21
31,22101,2023-01-05 00:00:00,53.0,0.7,1.3,1.6,1031.8,1,0
32,22101,2023-01-05 03:00:00,171.0,0.9,1.7,1.8,1031.6,1,3
33,22101,2023-01-05 06:00:00,43.0,0.8,1.6,2.1,1031.5,1,6
34,22101,2023-01-05 09:00:00,111.0,3.1,4.1,2.5,1031.2,1,9
35,22101,2023-01-05 12:00:00,120.0,2.7,4.1,2.3,1032.3,1,12
36,22101,2023-01-05 15:00:00,54.0,1.7,2.9,2.5,1030.5,1,15
37,22101,2023-01-05 18:00:00,98.0,1.7,2.8,3.1,1030.4,1,18
38,22101,2023-01-05 21:00:00,122.0,2.8,3.7,2.8,1030.3,1,21
39,22101,2023-01-06 00:00:00,144.0,2.6,3.3,2.9,1028.9,1,0
40,22101,2023-01-06 03:00:00,156.0,3.0,3.8,3.6,1029.2,1,3
41,22101,2023-01-06 06:00:00,120.0,2.4,3.1,3.5,1027.8,1,6
42,22101,2023-01-06 09:00:00,128.0,5.1,6.3,3.2,1026.2,1,9
43,22101,2023-01-06 12:00:00,130.0,5.4,6.5,3.7,1025.4,1,12
44,22101,2023-01-06 15:00:00,132.0,6.8,8.3,4.4,1021.1,1,15
45,22101,2023-01-06 18:00:00,172.0,7.6,9.4,5.7,1017.5,1,18
46,22101,2023-01-06 21:00:00,173.0,8.0,10.3,5.9,1015.2,1,21
47,22101,2023-01-07 00:00:00,293.0,8.5,10.7,5.7,1015.0,1,0
48,22101,2023-01-07 03:00:00,305.0,9.6,12.6,4.9,1015.2,1,3
49,22101,2023-01-07 06:00:00,314.0,10.8,13.7,4.1,1018.3,1,6
50,22101,2023-01-07 09:00:00,312.0,8.9,11.1,3.6,1018.7,1,9
51,22101,2023-01-07 12:00:00,325.0,7.6,9.7,3.2,1021.3,1,12
52,22101,2023-01-07 15:00:00,309.0,6.4,8.3,3.8,1021.0,1,15
53,22101,2023-01-07 18:00:00,306.0,8.3,10.4,4.1,1021.2,1,18
54,22101,2023-01-07 21:00:00,321.0,6.0,7.4,3.4,1023.0,1,21
55,22101,2023-01-08 00:00:00,332.0,2.5,3.7,2.8,1024.4,1,0
56,22101,2023-01-08 03:00:00,322.0,3.9,5.1,2.7,1023.9,1,3
57,22101,2023-01-08 06:00:00,68.0,2.9,4.0,2.0,1024.7,1,6
58,22101,2023-01-08 09:00:00,119.0,3.3,4.0,2.6,1025.7,1,9
59,22101,2023-01-08 12:00:00,138.0,5.1,6.3,3.5,1025.3,1,12
60,22101,2023-01-08 15:00:00,172.0,5.0,6.3,4.4,1024.5,1,15
61,22101,2023-01-08 18:00:00,173.0,5.5,7.2,5.0,1023.1,1,18
62,22101,2023-01-08 21:00:00,84.0,2.6,3.4,4.9,1023.9,1,21
63,22101,2023-01-09 00:00:00,106.0,3.2,4.0,5.2,1024.1,1,0
64,22101,2023-01-09 03:00:00,115.0,3.1,3.9,5.4,1023.4,1,3
65,22101,2023-01-09 06:00:00,127.0,5.1,6.1,4.7,1022.3,1,6
66,22101,2023-01-09 09:00:00,16.0,7.1,8.7,4.0,1024.0,1,9
67,22101,2023-01-09 12:00:00,347.0,7.7,9.3,3.5,1025.9,1,12
68,22101,2023-01-09 15:00:00,343.0,7.8,9.4,3.0,1025.5,1,15
69,22101,2023-01-09 18:00:00,337.0,6.6,8.6,3.6,1025.9,1,18
70,22101,2023-01-09 21:00:00,350.0,8.9,11.3,2.4,1027.6,1,21
71,22101,2023-01-10 00:00:00,355.0,8.5,11.0,2.0,1029.3,1,0
72,22101,2023-01-10 03:00:00,21.0,6.8,8.4,1.6,1030.1,1,3
73,22101,2023-01-10 06:00:00,38.0,5.8,7.6,1.3,1029.7,1,6
74,22101,2023-01-10 09:00:00,65.0,4.1,5.3,1.2,1029.8,1,9
75,22101,2023-01-10 12:00:00,49.0,2.7,3.9,1.9,1031.0,1,12
76,22101,2023-01-10 15:00:00,19.0,2.2,2.9,2.6,1029.4,1,15
77,22101,2023-01-10 18:00:00,318.0,2.2,3.1,3.2,1028.0,1,18
78,22101,2023-01-10 21:00:00,331.0,0.8,1.6,2.8,1028.0,1,21
79,22101,2023-01-11 00:00:00,324.0,1.7,2.5,2.9,1027.9,1,0
80,22101,2023-01-11 03:00:00,321.0,1.4,2.2,2.6,1027.9,1,3
81,22101,2023-01-11 06:00:00,291.0,0.8,1.5,2.4,1027.4,1,6
82,22101,2023-01-11 09:00:00,122.0,1.0,1.5,3.2,1027.5,1,9
83,22101,2023-01-11 12:00:00,147.0,1.5,2.3,3.9,1028.0,1,12
84,22101,2023-01-11 15:00:00,195.0,1.1,1.8,4.6,1026.8,1,15
85,22101,2023-01-11 18:00:00,38.0,1.0,1.6,4.4,1025.7,1,18
86,22101,2023-01-11 21:00:00,129.0,1.5,2.2,4.2,1024.6,1,21
87,22101,2023-01-12 00:00:00,74.0,2.1,2.8,4.5,1024.6,1,0
88,22101,2023-01-12 03:00:00,61.0,3.1,3.7,4.4,1024.7,1,3
89,22101,2023-01-12 06:00:00,122.0,5.1,6.0,4.4,1024.0,1,6
90,22101,2023-01-12 09:00:00,126.0,5.9,7.0,5.1,1023.7,1,9
91,22101,2023-01-12 12:00:00,124.0,5.8,6.9,5.5,1024.1,1,12
92,22101,2023-01-12 15:00:00,130.0,4.0,4.8,6.7,1022.0,1,15
93,22101,2023-01-12 18:00:00,117.0,2.5,3.2,7.4,1020.6,1,18
94,22101,2023-01-12 21:00:00,123.0,3.2,4.7,8.2,1018.7,1,21
95,22101,2023-01-13 00:00:00,126.0,5.5,7.2,8.5,1017.2,1,0
96,22101,2023-01-13 03:00:00,110.0,7.1,9.1,6.3,1015.2,1,3
97,22101,2023-01-13 06:00:00,73.0,5.7,8.3,6.3,1011.7,1,6
98,22101,2023-01-13 09:00:00,131.0,5.7,7.5,7.6,1009.4,1,9
99,22101,2023-01-13 12:00:00,232.0,5.1,6.6,8.5,1009.3,1,12
100,22101,2023-01-13 15:00:00,270.0,4.3,5.4,6.5,1009.0,1,15
101,22101,2023-01-13 18:00:00,297.0,2.5,3.4,5.9,1010.0,1,18
102,22101,2023-01-13 21:00:00,286.0,3.0,3.7,5.6,1011.4,1,21
103,22101,2023-01-14 00:00:00,330.0,2.5,3.1,5.9,1012.5,1,0
104,22101,2023-01-14 03:00:00,343.0,3.2,4.0,5.5,1013.1,1,3
105,22101,2023-01-14 06:00:00,319.0,3.6,4.6,5.0,1012.7,1,6
106,22101,2023-01-14 09:00:00,329.0,6.9,8.8,4.6,1013.5,1,9
107,22101,2023-01-14 12:00:00,338.0,7.3,8.8,4.4,1014.8,1,12
108,22101,2023-01-14 15:00:00,340.0,7.6,9.0,3.9,1014.3,1,15
109,22101,2023-01-14 18:00:00,335.0,8.3,10.1,3.8,1014.7,1,18
110,22101,2023-01-14 21:00:00,349.0,8.3,10.6,2.7,1016.6,1,21
111,22101,2023-01-15 00:00:00,344.0,7.8,9.6,2.5,1017.0,1,0
112,22101,2023-01-15 03:00:00,327.0,8.8,10.8,1.4,1017.9,1,3
113,22101,2023-01-15 06:00:00,322.0,9.0,11.1,0.3,1018.6,1,6
114,22101,2023-01-15 09:00:00,318.0,9.3,11.5,-0.9,1018.8,1,9
115,22101,2023-01-15 12:00:00,323.0,8.7,10.8,-1.1,1019.7,1,12
116,22101,2023-01-15 15:00:00,322.0,8.9,11.9,-1.8,1019.1,1,15
