,지점,일시,16방위 풍향,풍속,강수량,기온,현지기압,해면기압,month,time
0,98,2023-01-01 03:00:00,0.0,0.4,0.0,-2.7,1015.1,1030.0,1,3
1,98,2023-01-01 06:00:00,0.0,0.3,0.0,-4.4,1015.4,1030.4,1,6
2,98,2023-01-01 09:00:00,0.0,0.3,0.0,-5.9,1017.0,1032.1,1,9
3,98,2023-01-01 12:00:00,50.0,0.4,0.0,-0.6,1017.6,1032.4,1,12
4,98,2023-01-01 15:00:00,320.0,2.8,0.0,3.2,1016.2,1030.7,1,15
5,98,2023-01-01 18:00:00,320.0,2.2,0.0,-0.0,1016.0,1030.7,1,18
6,98,2023-01-01 21:00:00,290.0,1.0,0.0,-3.1,1017.4,1032.3,1,21
7,98,2023-01-02 00:00:00,320.0,1.2,0.0,-5.1,1018.8,1033.9,1,0
8,98,2023-01-02 03:00:00,340.0,0.6,0.0,-7.2,1018.9,1034.0,1,3
9,98,2023-01-02 06:00:00,0.0,0.1,0.0,-9.6,1018.7,1034.1,1,6
10,98,2023-01-02 09:00:00,20.0,0.4,0.0,-10.9,1019.1,1034.5,1,9
11,98,2023-01-02 12:00:00,20.0,0.6,0.0,-5.0,1019.3,1034.4,1,12
12,98,2023-01-02 15:00:00,340.0,1.2,0.0,-1.8,1017.1,1031.9,1,15
13,98,2023-01-02 18:00:00,270.0,1.7,0.0,-2.4,1016.4,1031.3,1,18
14,98,2023-01-02 21:00:00,0.0,0.0,0.0,-5.8,1017.5,1032.6,1,21
15,98,2023-01-03 00:00:00,0.0,0.2,0.0,-9.2,1018.0,1033.2,1,0
16,98,2023-01-03 03:00:00,0.0,0.1,0.0,-11.2,1017.5,1032.9,1,3
17,98,2023-01-03 06:00:00,0.0,0.1,0.0,-12.5,1017.4,1032.9,1,6
18,98,2023-01-03 09:00:00,0.0,0.2,0.0,-12.8,1017.6,1033.1,1,9
19,98,2023-01-03 12:00:00,230.0,0.5,0.0,-6.0,1017.6,1032.7,1,12
20,98,2023-01-03 15:00:00,340.0,1.7,0.0,-1.3,1015.4,1030.2,1,15
21,98,2023-01-03 18:00:00,320.0,1.0,0.0,-2.2,1015.1,1029.9,1,18
22,98,2023-01-03 21:00:00,0.0,0.1,0.0,-5.6,1015.8,1030.9,1,21
23,98,2023-01-04 00:00:00,0.0,0.1,0.0,-8.4,1016.3,1031.6,1,0
24,98,2023-01-04 03:00:00,0.0,0.3,0.0,-10.0,1016.1,1031.4,1,3
25,98,2023-01-04 06:00:00,0.0,0.1,0.0,-9.7,1016.2,1031.5,1,6
26,98,2023-01-04 09:00:00,0.0,0.0,0.0,-10.5,1017.1,1032.5,1,9
27,98,2023-01-04 12:00:00,0.0,0.2,0.0,-3.8,1017.6,1032.6,1,12
28,98,2023-01-04 15:00:00,270.0,1.2,0.0,1.6,1016.2,1030.9,1,15
29,98,2023-01-04 18:00:00,0.0,0.2,0.0,0.5,1015.8,1030.5,1,18
30,98,2023-01-04 21:00:00,0.0,0.0,0.0,-3.6,1016.6,1031.6,1,21
31,98,2023-01-05 00:00:00,0.0,0.1,0.0,-6.0,1017.2,1032.3,1,0
32,98,2023-01-05 03:00:00,0.0,0.0,0.0,-8.2,1017.6,1032.9,1,3
33,98,2023-01-05 06:00:00,0.0,0.2,0.0,-9.8,1017.8,1033.1,1,6
34,98,2023-01-05 09:00:00,0.0,0.0,0.0,-10.2,1018.0,1033.3,1,9
35,98,2023-01-05 12:00:00,0.0,0.1,0.0,-3.4,1018.0,1032.9,1,12
36,98,2023-01-05 15:00:00,0.0,0.6,0.0,2.4,1015.9,1030.5,1,15
37,98,2023-01-05 18:00:00,320.0,0.9,0.0,1.3,1016.0,1030.7,1,18
38,98,2023-01-05 21:00:00,0.0,0.0,0.0,-2.6,1016.0,1030.8,1,21
39,98,2023-01-06 00:00:00,0.0,0.0,0.0,-4.9,1015.7,1030.7,1,0
40,98,2023-01-06 03:00:00,0.0,0.0,0.0,-6.4,1015.4,1030.5,1,3
41,98,2023-01-06 06:00:00,0.0,0.1,0.0,-7.5,1014.4,1029.5,1,6
42,98,2023-01-06 09:00:00,0.0,0.0,0.0,-7.6,1012.5,1027.6,1,9
43,98,2023-01-06 12:00:00,200.0,1.1,0.0,-0.7,1011.2,1025.9,1,12
44,98,2023-01-06 15:00:00,160.0,2.7,0.0,4.1,1007.7,1022.1,1,15
45,98,2023-01-06 18:00:00,140.0,1.0,0.0,2.9,1005.1,1019.5,1,18
46,98,2023-01-06 21:00:00,180.0,1.3,0.1,2.3,1002.9,1017.3,1,21
47,98,2023-01-07 00:00:00,0.0,0.5,5.2,0.3,1000.8,1015.3,1,0
48,98,2023-01-07 03:00:00,0.0,0.2,0.1,0.1,1000.4,1014.9,1,3
49,98,2023-01-07 06:00:00,0.0,0.1,0.2,0.2,1001.1,1015.6,1,6
50,98,2023-01-07 09:00:00,250.0,1.2,0.0,0.5,1003.7,1018.2,1,9
51,98,2023-01-07 12:00:00,270.0,1.6,0.0,1.0,1005.6,1020.2,1,12
